;text;toxicity_score;perspective_label;gpt_label;toxic
34;voces são muito hipocritas mesmo. Querem que a gente aceite o resultado das eleicoes. Quem foi que ficou 4 anos enchendo o nosso saco dizendo que foi (golpe)? Em 2018 não teve ajuda do TSE para Jair Bolsonaro ser eleito não, diferente do que aconteceu agora em 2022.;0.2840909;0;1;0
35;Caras.. eu disse que passado as eleicoes eu não queria mais falar sobre o assunto aqui.. e eu to literalmente exausto desses videos todos de patriotas e noticias de gente maluca falando em fraude de urna por ai... chega ngm aguenta mais esse bando de lunatico esquizo!;0.34042552;0;1;1
36;Deixa eu adivinhar: so serve pra invalidar as eleicoes presidenciais (não servindo para governadores nem congressistas eleitos), e sose refere a urnas especificas do Nordeste. Acertei?;0.89143085;1;0;0
37;ELEICOES não SE GANHA,  SE TOMA.   E AGORA  BORROSO  QUEM E  MANE?  DEUS E  JUSTO,  QUERO VER TODOS VOCES NA CADEIA.   AS FFAA  TEM QUE ACABAR O QUE COMECOU  LA EM 64 E ELIMINAR TODOS COMUNISTAS  QUE  SOBREVIVERAM  AO REGIME MILITAR.  O MAL TEM QUE SER COADO PELA RAIZ.;0.07100799;0;1;1
38;QUEREMOS A ANULACAO DAS ELEICOES, SUPREMO E O POVO!;0.055042017;0;1;0
39;Pra vcs que se metem em assuntos cujo teor e POSITIVIDADE, o motivo e pra CHORAREM. Preocupem-se com o negacionista que desde o resultado das eleicoes  tornou-se mais vagabundo ainda. E olha que, ainda, esta na presidencia!!;0.14054494;0;1;1
40;"O mundo e o Brasil validaram as eleicoes? No Brasil o povo continua nas ruas, desconfiado do resultado das urnas eletronicas; tenho visto videos de varios paises que estao questionando as eleicoes brasileiras. De onde irou isso ? Das vozes da sua cabeca?";0.08244847;0;1;1
41;E isso mesmo. Vc e mais um da fila dos que foram demitidos depois da derrota das eleicoes. Um padrao. Vc será devidamente substituido. Vida que segue;0.857575;1;0;0
42;Acho pouco! Triste e ver trabalhadoras e trabalhadores honestos, nos campos, nas ruas, debaixo de sol e chuva com salarios minimos. Nos hospitais, morrendo pra salvar vidas e sendo esculhambados por esses zumbis. Trabalhando nas eleicoes e sendo ameacados. Gado tem que pastar mm;0.28004074;0;1;1
43;Agora eu gostei! não estou vendo a forca do STF ou TSE pos eleicoes, esses baderneiros nazifascistas deveriam estar todos presos!;0.34042552;0;1;1
44;"Relatorio sobre as eleicoes 2022 e as urnas eletronicas.  Quem confirma a noticia ?  ""Argentino Fernando Ceremedo ... dados muito comprometedores foram enviados a Abin, o argentino escolheu por não tornar os dados publicos mas sim envia-los a uma entidade.""";0.8674699;1;0;0
45;Cara tu pegou um video de mais de 30 anos atras ???? Sim eu conheco o Lula e sim eu vi esse video mas cara o maior erro de vcs e acreditar que o Lula e assim ate hj pq ate pra ele ganhar as eleicoes de 2002 ele teve que larga isso e fazer conciliacao cm a direita;0.14894952;0;1;0
46;Kkkkk so aparece nas eleicoes? Ta de brincadeira, ne.;0.85585743;1;0;0
47;Fala do carona do Lula e dinheiro que gastou nas eleicoes e não falou onde tirou ..;0.9259712;1;0;0
48;não vamos sair das ruas, mesmo com esse pedido do PL para anulacao das eleicoes, pois isso pode nem ser atendido, já q o legislativo esta de joelho para o STF. Agora SUPREMO E O POVO! Queremos a acao das forcas armadas.;0.32323208;0;1;0
49;As eleicoes foram em 2021, mas a anulacao foi anunciada hoje. E não importa se foi so em uma zona ou não. O fato e que foram anuladas por irregularidades. Procure saber melhor, antes de chamar alguem de mentiroso.;0.19741918;0;1;0
50;Aproveita, pq daqui uns dias vai ser feito o pedido de anulacao das eleicoes, assim voce não vai poder sair gastando o nosso dinheiro, como se representasse o povo brasileiro.;0.81389534;1;0;0
51;A opiniao do povo já foi dada nas eleicoes. Chupa meu amigo... Engole...;0.1813046;0;1;1
52;O gado ! Chorando estao pedindo anulacao das eleicoes com base em delirios. Barroso já mandou a real para o gado bolsonarista: Perdeu mane, não amola. Alexandre de Moraes, siga firme. O povo apoia o STF e o TSE. Lugar de golpistas e na cadeia.;0.28151137;0;1;1
53;isto aqui e o que?não e o bastante para novas eleicoes e ate impugnacao da chapa adversaria será que tse tem mesmo o porque pedir impeachment do ministro da defesa por pedir o que o povo tem direito TRANSPARENCIA?QUE JUSTICA VOCES são?;0.08092804;0;1;0
54;Sou contra a anulacao das eleicoes.  Penso que o correto e cassar a chapa beneficiada pela eventual fraude e punir os responsaveis, inclusive aqueles que não estao no TSE deram plenos poderes ao tribunal eleitoral.;0.81395227;1;0;0
55;Essa coisa de postar coisas assim não ajuda. Isso e antigo. Das eleicoes de 2018 e aconteceu em um shopping de Belo Horizonte.;0.85862595;1;0;0
56;"CANALHA! Velha mentirosa e cinica. 1) que e mentira q não existe transferencia.POIS O TSE ABRIU TODO O FUNCIONAMENTO DAS URNAS ANTES DAS ELEICOES INCLUSIVE PRO BOLSONARO 2) Que o ""povo"" não fala o q quiser, o povo tem liberdade MAS TEM LIMITES Q E OBEDECER A CONSTITUICAO.";0.099415205;0;1;1
57;Arrombado tu se fu d   eu perdeu as eleicoes  troxa kkkk;0.13034774;0;1;1
58;Linguagem de bandido. Do mesmo ministro malandro qhe disse que eleicoes não se ganha , se toma .;0.22166495;0;1;1
59;A NEM FODENDOKJJJJKKKKKKKKJKKKJKK pqp o povo se mordendo, sem querer me lembrei das eleicoes;0.2809656;0;1;1
60;Ta com medo de não tomar posse.  Mas facil anular as eleicoes do que tirar essa praga sanguessuga e sua gangrena do poder.  E nossos deputados e senadores,  estao fazendo o que?  95% não nos representa.  Bando de cagao.;0.012811388;0;1;1
61;Acho que o Brasil precisa sentir um pouco mais o cheiro da ditadura, censura e autoritarismo. Na minha leitura, o povo tem o governo que merece. Mas, eleicoes roubadas não podem ser toleradas. Nem pelos petralhas. Nem por ninguem. A democracia tem que sobreviver. então, sim!;0.20375787;0;1;0
62;Procurador defende contagem publica de votos  via  esta E PROVA DA FRAUDE NESSAS ELEICOES, COMPAILHEM AO MAXIMO.;0.34042552;0;1;0
63;Eleicoes fraudadas foi so qdo Bozo perdeu?? KKKK Na hora de eleger os senadores e deputados do bozo tava lindo ne? Criem vergonha na cara! Vcs usaram ate a PRF p/ impedir o povo de votar! O idiot4 acha q educacao sexual e sexualizar e o mesmo q acha q mae amamentar e obsceno;0.099415205;0;1;1
64;"Brasileiro somos nos q derrotamos a MENTIRA NAS URNAS. Bolsonaro tentou de tudo p ser preso p melar as eleicoes. Eu pedia a Deus todos os dias ""TSE STF deixa esse homem livre PQ PRECISAMOS DERROTAR essa lastima nas urnas C O VOTO DIRETO. E aqui estamos VENCEMOS  UFA ALIVIO !";0.86052006;1;0;1
65;Ele foi o maior inimigo dele mesmo! Teve a faca e o queijo na mao. Se tivesse atuado como um governante normal,tinha ganhado as eleicoes.Mas a ignorancia,intolerancia e  falta de empatia o derrotaram!Enquanto morriam 4 mil pessoas por dia,saia feliz da vida, em motociatas!;0.051590722;0;1;0
66;Critica o Xandao e as eleicoes so pra gente testar uma coisa ai.;0.038852096;0;1;0
67;Voce será responsabilizado seu marginal, por incitar golpe de estado, atentar contra as eleicoes e promover caos usando seus zumbis....Um dia voce ira responder criminalmente;0.101325594;0;1;1
68;CANCELAMENTO DAS ELEICOES! Isto mesmo que o PL vai pedir!  O Relatorio do PL (partido do Presidente Bolsonaro) Concluiu que os logs das urnas de 2009 a 2015 são invalidos!;0.96475786;1;0;0
69;Fia, voce decretou que o pais esta morto desde o dia que o teu milico genocida de estimacao perdeu as eleicoes democráticamente. Acha mesmo que tens alguma moral pra falar sobre o futuro do pais, com base no que nas rachadinhas e demais sigilos?! KKKKKKK Engole o choro e supera;0.747801;0;1;1
70;Aumenta a foto, que vc ve a mascara, depois das eleicoes so apareceu por 2 duas  vezes, e essa e a foto do site do PT, peguei na pagina do Pastor Sandro Rocha  este seria um impostor?;0.09395992;0;1;0
71;Concordo plenamente, na verdade ele não deve receber essa faixa e muito menos subir aquela rampa, já deu o golpe la atras e deu outro agora nas eleicoes junto com sua quadrilha eletizada os juizes ditadores....;0.7124183;0;1;0
72;S.O.S FORCAS ARMADAS.   Se vcs não fizerem nada, o povo fara, e nosso sangue será derramado e vcs serão culpados por isso, por sua omissão.  não aguentamos mais essa injustica e roubalheira nas eleicoes e do POVO brasileiro.  não aceitaremos um bandido condenado nos governando.;0.74311143;0;1;0
73;Eleicoes  roubadas por uma faccao comunista . Golpe e teu uc;0.055042017;0;1;1
74;Pobre Alemanha. não tem eleicoes modernas e fiaveis como no Brasil. Kkkk;0.4182967;0;1;0
75;Voces são bandidos, roubaram as eleicoes!;0.099415205;0;1;1
76;Liberdade não abriga censura, mormente do judicioário, tao pouco ativismo politico do STF e tao pouco eleicoes razoavelmente duvidosas, que não convenceram a populacao, viu Sra Min do cala boca já morreu somente quando não se trata do PT;0.4161137;0;1;1
77;"Vou ser sincero. ""perdeu mane"" e sem duvidas um forte indicio d crime eleitoral nas eleicoes 2022! A postura do min. diante d uma abordagem ridicula e d fato preocupante. NOTA: eu quero q bolsonaro e seus pares de fodam, entretanto tlvz a democracia BR tenha sido sepultada d fato";0.3013408;0;1;1
78;Eles são muito incompetentes para dar um golpe. Coloca 1 trilhao de reais nas maos deles e eles CONSEGUEM perder as eleicoes.;0.22350805;0;1;0
79;Engracado, milhoes foram pras ruas. O ok foi dado. Congresso podre.  Provas não faltam. Agora PL vem para anular as eleicoes. Era hora das FFAA agirem. E o povo continua a ser humilhado. Para ter tamanho atrevimento,  estao muito seguros de si. Vai dar em nada. PGR tem ainda?;0.32831064;0;1;0
80;Disfarca não ministro,esse povo apenas quer transparencia nas eleicoes!!! Estamos lutando por nossos direitos!!!;0.8223625;1;0;0
81;O povo Brasileiro não aceita  como Presidente novamente!  roubou o Brasil, ele e corrupto!  As eleicoes, provavelmente, foram manipuladas pra ele ganhar!;0.7472669;0;1;0
82;"não e o pessoal que ""faz o L"" que ta de ""frescura e de mimimi"" por seu candidato ter perdido nas eleicoes.";0.8118282;1;0;0
83;Vc e cega ou oq? não vive no mesmo Brasil que eu, onde as falas do ex-presidiario causam prejuizos e inseguranca, onde o STF e parcial e protege criminoso, onde o TSE censura os q pensam diferente mesmo pos eleicoes completamente suspeitas vai !;0.026288271;0;1;0
84;Vc e um idiota ou um ladrão corrupto igual o Lula,pra reconhecer a Vitoria dele, uma eleicao marcada por fraude e abuso de um judicioário podre, não adianta mandar a CIA pressionar o presidenta a aceitar o resultado das eleicoes, o lula ladrão do não vai assumir. Cuida da sua casa;0.06343516;0;1;1
85;Se usasse os dois neuronios que estao dormindo antes de falar merda, chegaria a conclusão que se não fosse dinheiro vivo, o cla Bolsonaro teria apresentado extratos das instituicoes financeiras antes das eleicoes pra provar que era mentira e não ser prejudicados por isso.;0.030657995;0;1;1
86;Girias de um bandido. Barroso em nyk com bolssonarista perdeu mane eleicoes não si ganha toma.!vamos ficar prostrados diante de um senado de um congresso covardes que não age contra esses bandidos de capós pretas que viola LEIS DA constituicao, não são parciais tem partido sim PT;0.47102526;0;1;1
87;na minha opiniao vai ser tentado tudo dentro das 4 linhas sem envolver as FFAA. se o STF/TSE não se sensibilizar ai vai rolar como ultima opcao artigo 142 para estabelecer a ordem. FFAA assume as atividades do TSE/STF via STM e arruma tudo o que ta errado incluindo novas eleicoes;0.86052006;1;0;0
88;Vc  ainda acha que e democracia o PT GANHAR ELEICOES?;0.07752888;0;1;0
89;Vc não me representa, vc não ganhou as eleicoes vc roubou nas urnas, vc e uma vergonha;0.8968678;1;0;1
90;Ja tem fatos e fatores suficientes pra cassar a chapa petista ou então anular as eleicoes.Ai, o povo que paga a conta toda, precisa renunciar ao trabalho, para reivindicar seus direitos.Ta na hora, se não tem saida democrática, por medo do judicioário parcial, que as FFAA avancem.;0.800372;1;0;0
91;Foi de inxerido pilantra Bandido as Eleicoes não acabou ate a faixa e gracas ao bom Deus Bandido não vai subir a rampa!!!;0.08244847;0;1;1
92;"""perdeu mane"" essa e a palavra de um ministro pra um cidadao questionando sobre as eleicoes. Ta na hora de por ordem nisso Pacheco";0.124192014;0;1;1
93;ninguem ligava pra equipe de transicao em outras eleicoes, hoje em dia os anuncios geram expectiva, dedo no cu e gritaria imagina quando for anuncio dos ministerios;0.099415205;0;1;1
94;A esquerda brasileira ta com medo que o TSE aceite o relatorio final do PL sobre as urnas eletronicas e as eleicoes sejam anuladas ou o resultado somente das urnas fabricadas em 2020 consideradas, o que daria a reeleicao do Bolsonaro com ampla maioria do povo brasileiro.;0.9532164;1;0;0
95;e o anestesio BUNDAO continua chorando porque o  de estimacao dele perdeu as eleicoes   ai ele berrou aos quatro cantos que vai comprar uma arma pra defender a familia dele da petralhada k k k k;0.099415205;0;1;1
96;"E voltou a chupetar o Molusco.... !  Moleque metido a intelectual ""ranhento""de predio.   Voce não gostar de uma pessoa,  mas fingir que nada aconteceu so pra ganhar "" smica "" do Molusco na cara.   Ai quero ver quem voce vai "" chupetar "" proximas eleicoes e deixar.  Menino foca!";0.67434597;0;1;1
97;alguma palavrinha sobre o resultado das eleicoes de 2022?;0.8674699;1;0;0
98;Respeite o resultado das eleicoes que foram justas gracas a deus esse pessimo presidente vai sair. Lula vai organizar essa casa que so vem gerando o odio entre as pessoas fora Bolsonaro pra nunca mais voltar;0.67343843;0;1;0
99;Quanta reviravolta nas eleicoes fraudulentas americanas.   De fato, não ter aquela figura repugnante da Nancy Pelosi e um otimo sinal.;0.29716623;0;1;1
100;Os milhoes de brasileiros pedindo eleicoes transparentes vcs não mostram! Uma duzia de ongueiros impressiona vcs. Jornalismo ai passou longe!!!;0.055042017;0;1;1
101;Dep. Marcelo Calero (PSD) alegando que o general tem feito declaracoes sobre possivel fraude nas eleicoes, supostamente agindo em beneficio do atual presidente Jair Bolsonaro (PL) e seus aliados.  será que dessa vez a onca vai parar de beber agua?;0.042731304;0;1;0
102;Que vergonha! Aceita que doi menos e voces não vao passar tanta vergonha! O mundo inteiro já referendou o resultado das eleicoes no Brasil!!! So falta o gado! Muuuu Muuuu Muuuu;0.095083825;0;1;1
103;Acho que não, na verdade por mim teria que ter um jeito de impugnar o PT,descondenado não governa, dai não teria o pq novas eleicoes.;0.351916;0;1;0
104;Perai, vou explicar a frase: (perdeu = perder eleicoes) + (mane = pessoa de pouca inteligencia) + (não amola = voce);0.8674699;1;0;1
105;O Brasil esta a beira do precipicio. Temos ate o fim do ano para reverter essa aberracao ou todos estaremos condenados a morte! esta tudo errado, do inicio ao fim. O inicio foi a soltura do ladrão e o fim foi a fraude das eleicoes. Nos venceremos esses traidores da pátria!;0.5407044;0;1;1
106;ELEICOES não SE GANHA SE TOMA, PERDEU MANE....... SO NO BRASIL MESMO... não E FAKE NEWS E VERDADE UMA VERGONHA.;0.16477858;0;1;1
107;Perdao , estamos na mesma pagina ...eu que sou tiuzinho novo no Twitter e me perco ainda ! To contigo e esta PEC o ativismo do Barroso foi tao absurdo que teve a cara de pau de dizer que Eleicoes não se ganha , se toma !;0.12778684;0;1;1
108;TODOS OS BRASILEIROS ESTARAO PERDIDOS caso não seja feito alguma manobra contra a FRAUDE NAS ELEICOES DE 2022. ESTAMOS CAMINHANDO PARA O MAIS PROFUNDO ABISMO MORAL e inevitavelmente, um povo preso as amarras do roubo mais escancarado , politicamente, de todos os tempos.;0.030669961;0;1;0
109;16 dias depois das eleicoes e eu ainda sorrio com as manifestacoes anti democráticas   que povo burro, meu deus kkkkkkkkkkk;0.055042017;0;1;1
110;Que velho doido! Fazendo acepcao das pessoas. A igreja não te pertence velho Gaga!  A igreja pertence a Deus! O resultado das eleicoes foi o querer do povo e DEUS! DEUS tem controle de todas as coisas! Vai te tratar velhote!;0.2829762;0;1;1
111;Bolsonaro apostou o resultado das eleicoes com o negao da picon Ele disse que se perdesse as eleicoes liberava o fiote pro negao. Ai perdeu... Agora não consegue andar, foi arrombado.  Esse e motivo do sumico do presidente.;0.26714432;0;1;1
112;Acabar com a máquina de odio??? Voce reve os posts que faz ou tem memoria flash e esquece logo depois que dispara?  Tem sido o maior incitador ao odio nesse twitter mesmo apos as eleicoes!!!!;0.063391;0;1;0
113;O  vai pedir a anulacao das eleicoes! será que o PL vai pedir anulacao dos 8 senadores, os 99 deputados federais, 129 deputados estaduais e os 2 governadores eleitos pelo proprio partido?;0.8674699;1;0;0
114;Diamond Mall em Belo Horizonte antes das eleicoes.;0.8674699;1;0;0
115;Benemeritos do Atletico, que tem cadeira vitalicia no Conselho Deliberativo, denunciam uma suposta fraude nas eleicoes que elegeram 150 novos membros no ultimo mes de agosto;0.800372;1;0;0
116;"Suponhamos que o PT so tenha ""vencido"" 4 vezes as eleicoes para presidente atraves do ""robozin"" dentro das ""maquinetas"" e que isso reste comprovado. Os togados indicados pelos vermelhos seguirão em suas ""cadeiras supremas""  ?";0.099415205;0;1;0
117;PL se pronuncia apos site dizer que o partido pedira anulacao das eleicoes;0.800372;1;0;0
118;não amigo. E porque a grande midia aqui não tem interesse, eles são do partido do candidato ex-presidiario que roubou as eleicoes. Por isso não mostram as manifestacoes.;0.78985506;0;1;1
119;Ja esta na hora do EXERCITO colocar a mao na massa, e mandar a MERDA todos esses que roubaram escandalosamente as ELEICOES. Chega de muita frescuras... Essa Esquerda e muito Cara de PAU. não merecem respeito. E preciso entrar com tudo encima deles. Tentaram ate antecipar a posse.;0.18075107;0;1;1
120;DEIXA DE SER BURRO, IDIOTA, MAL CARATER E MASSA DE MANOBRA DE OUTROS TANTOS CM O MSM SEU CARATER...ELEITOR DO VENCEDOR não TEM Q ESTAR NAS RUAS, TEM Q ESTAR TRABALHANDO...VADIOS ESTAO NAS RUAS   PQ N ACEITAM O RESULTADO DEMOCRATICO DAS ELEICOES FODAM-SE;0.2840909;0;1;1
121;PRF prende garimpeiro com  150 mil e roupas com lema 'Deus, pátria e Familia'. Poderia estar patrocinando acoes delituosas de bloqueio de rodovias, como as que ocorreram apos a derrota do miliciano, Jair nas eleicoes.;0.8783366;1;0;1
122;Jornal de bosta, todos corruptos junto com o presidente que ganhou as eleicoes na base da fraude, que já foi comprovada, e ninguem fala nada não consigo acrescentar no que estamos vivendo. As manifestacoes pacificas são por um Brasil melhor para não virarmos uma Venezuela;0.27680922;0;1;1
123;A partir de hoje não dou mais um dia de audiencia ao 3 em 1. A JP esta uma Merda depois das eleicoes, se vendeu, acho muito bom implorar para o  voltar, do contrario, será mais um programa que vai dar traco;0.67148936;0;1;1
124;A midia já tem toda historia na manga caso as eleicoes sejam anuladas ou comprovada a fraude a reeleicao de Bolsonaro . Ficarao o resto da vida de mimimi e vendo o pais decolar e eles a ver navios sem moral e nem credibilidade , perdida ha muito tempo inclusive;0.8223625;1;0;0
125;KCT !!! Vcs ouviram o nosso Presidente aceitar essas eleicoes Vcs ouviram as FFAA dizer que as eleicoes foram limpas nãoOOOO  Os politicos so sabem fazer politicagem e sempre a seu favor, onde tem poder e   eles se corrompem CONFIEM em nosso Presidente e nas FFAA;0.8984342;1;0;1
126;Quando por uma manobra judicial tiraram o nove dedos da cadeia pra concorrer as eleicoes, seria muita ingenuidade nossa achar que ele não seria eleito, mas tambem e muita ingenuidade da esquerda achar que todo esse sacrificio não vai dar em nada. Mantenhamos firmes, aguardem.;0.8674699;1;0;1
127;COVARDE e quem não consegue aceitar o resultado das eleicoes!;0.8223625;1;0;1
128;ALEMANHA ANULA ELEICOES POR FRAUDE ELEITORAL !GERMANY ELECTIONS ANNULLED DUE TO ELECTORAL FRAUD;0.055042017;0;1;0
129;Quem esta na rua questionando o resultado das eleicoes e pedindo golpe militar e CRIMINOSO e merece ser coberto de cacetadas, metido em cana e processado penalmente;0.055042017;0;1;1
130;MILHOES NAS RUAS, ACAMPADOS EM FRENTE AOS QUAEIS, SOB CHUVA,  ENFRENTANDO O FRIO E A VIOLENCIA DA POLICIA DE CEOS GOVERNADORES, EM DEFESA DA DEMOCRACIA, CONTRA A CENSURA, GRITANDO POR ELEICOES LIMPAS. E O CONGRESSO OMISSO, DE QUATRO, SOB O JUGO DO SINDICO DA DITATOGA.;0.24330111;0;1;1
131;Se o problema esta nas versoes de urna anteriores, as eleicoes anteriores não valeram tambem. incluindo a que elegeu o bozo.;0.055042017;0;1;0
132;E o que adianta esses videozinhos dele??? Sumiu desde que acabaram as eleicoes. O povo nas ruas a 16 dias. Provas e que não faltam para provar as fraudes e mesmo com provas e milhoes nas ruas, nada tem sido feito.;0.10390711;0;1;0
133;Puxa, seria otimo se ocorresse no Brasil. já pensou, poderiamos não ter lula nem.bozo no segundo turno  Bananinha, ruiva pistoleiro, cuecao de dolar, astronauta, e outros não sendo eleitos como parlamentares.  Bananinha, muitos eleitores querem outras eleicoes desde do 1 turno;0.076168984;0;1;1
134;Agora e waiver? Ate antes das eleicoes era FURA TETO!!!;0.038852096;0;1;0
135;ALEMANHA ANULA ELEICOES POR FRAUDE ELEITORAL!  ELES DIZIAM QUE A ELEICAO ERA A PROVA DE FRAUDES!  ELES DIZIAM QUE OS SISTEMA ELEITORAL NA ALEMANHA ERA A PROVA DE FRAUDE!  SE UM PAIS DE 1 MUNDO TEM FRAUDES, IMAGINA UM PAIS ONDE 40% DOS ELEITORES são COMUNISTAS...;0.08011205;0;1;0
136;Caralho, Ciro TEM propostas. Voce discorda delas e e seu direito, mas de todos os candidatos das DUAS ultimas eleicoes, Ciro foi o que apresentou as propostas mais concretas.  Voce pode discordar das propostas, mas não pode negar que elas existiram.;0.47102526;0;1;0
137;Alexandre não esta ajudando o povo voces ignorarem a montanha de evidencias que o resultado das eleicoes e fabricado e ficarem validando a existencia de 60 milhoes de eleitores de Lula que ate agora ninguem viu. Especialmente porque o responsavel pelo resultado censura duvidas.;0.33709252;0;1;0
