,term-or-expression,explicit-or-implicit,pt-brazilian-portuguese,pt-contextual-label,pt-hate-label,pt-deeply-culture-rooted,en-american-english,en-contextual-label,en-hate-label,es-latin-spanish,es-contextual-label,es-hate-label,fr-african-french,fr-contextual-label,fr-hate-Label,ge-german,ge-contextual-label,ge-hate-Label,tu-turkish,tu-contextual-label,tu-hate-Label,Meaning Sources,toxicity_score
22,term,explicit,trapaceiro,1.0,0,0.0,cheater,1.0,0,tramposo,1.0,0,infidèle,1.0,0,Betrüger,1.0,0,dolandırıcı,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/trapaceiro/,0.5814565
23,term,explicit,maldito,1.0,0,0.0,damned ,1.0,0,maldito,1.0,0,maudit,1.0,0,Ausgestoßener / Verdammter,1.0,0,lanet olsun,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/maldito/,0.800372
24,term,explicit,familicia,1.0,partyism,1.0,0,1.0,partyism,0,0.0,partyism,0,1.0,partyism,0,1.0,partyism,0,1.0,partyism,"""term used to refer to Bolsonaro's family""",0.012811388
25,term,explicit,fiofó,1.0,0,0.0,arse,1.0,0,0,0.0,0,0,0.0,0,Arsch,1.0,0,anüs,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/fiof%C3%B3/,0.06837218
26,term,explicit,arrombar,0.0,0,0.0,to drill,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,aşağılamak,0.0,0,https://www.dicio.com.br/arrombar/,0.22246628
27,term,explicit,fuder,1.0,0,0.0,fuck,1.0,0,joder,1.0,0,putain de ,1.0,0,ficken,1.0,0,kahretsin,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/foder/,0.800372
28,term,explicit,foder,1.0,0,0.0,fuck,1.0,0,joder,1.0,0,putain de ,1.0,0,ficken,1.0,0,kahretsin,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/foder/,0.8045932
29,expression,explicit,vá se fuder,1.0,0,0.0,fuck you,1.0,0,vete a la mierda,1.0,0,va te faire foutre !,1.0,0,Du kannst mich mal kreuzweise (am Arsch lecken),1.0,0,git kendini becer,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fuck-you-them-it?q=fuck+it,0.99077505
30,term,explicit,doida,1.0,0,0.0,fool,1.0,0,loca,1.0,0,fou,1.0,0,Irrer / Verrückter / Wahnsinniger,1.0,0,deli,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fool,0.67148936
31,term,explicit,doido,1.0,0,0.0,fool,1.0,0,loco,1.0,0,folie,1.0,0,geistige Umnachtung,1.0,0,deli,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fool,0.46378645
32,term,explicit,miliciano,1.0,0,0.0,militiamen,1.0,0,miliciano,1.0,0,milicien,1.0,0,no-translation,1.0,0,0,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/miliciano/,0.055042017
33,expression,explicit,sangue suga,0.0,0,0.0,parasite,0.0,0,sanguijuela,0.0,0,0,0.0,0,Parasit/Ungeziefer ,0.0,0,kan emici,0.0,0,https://michaelis.uol.com.br/palavra/w40k8/sanguessuga/,0.7417119
34,expression,explicit,sanguessuga,0.0,0,0.0,leech,0.0,0,sanguijuela,0.0,0,sangsue,0.0,0,0,0.0,0,sülük,0.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/leech,0.54026276
35,expression,explicit,lambem o saco,1.0,0,0.0,ass kissers (adj) / to kiss someone's ass (v),1.0,0,lamben los huevos,1.0,0,il/elles lèchent le sac,1.0,0,Lutsch meinen Schwanz,1.0,0,enayi,1.0,0,https://www.dicionarioinformal.com.br/lambe+saco/,0.8223625
36,term,explicit,criatura,0.0,0,0.0,creature,0.0,0,criatura,0.0,0,créature,0.0,0,Kreatur,0.0,0,yaratık,0.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/creature,0.038852096
37,term,explicit,peste,0.0,0,0.0,plague,0.0,0,plaga,0.0,0,peste,0.0,0,...wie die Pest,0.0,0,veba,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/peste/,0.099415205
38,term,explicit,ladrão,1.0,0,0.0,thief,1.0,0,ladrón,1.0,0,voleur,1.0,0,Dieb  ,1.0,0,hırsız,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/thief,0.800372
39,term,explicit,ladra,1.0,0,0.0,thief,1.0,0,ladrona,1.0,0,0,0.0,0,Diebin,1.0,0,hırsız,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/ladra/,0.69274324
40,term,explicit,ladrona,1.0,0,0.0,thief,1.0,0,ladrona,1.0,0,0,0.0,0,Dieb,1.0,0,hırsız,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/ladrona/,0.800372
41,term,explicit,safado,1.0,0,0.0,manwhore,1.0,0,cabrón,1.0,0,fripouille,1.0,0,Schurke,1.0,0,utanmaz,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/safado/,0.74750245
42,term,explicit,asqueroso,1.0,0,0.0,disgusting,1.0,0,asqueroso,1.0,0,dégoûtant,1.0,0,bösartig (Person),1.0,0,mide bulandırıcı,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/asqueroso/,0.8415949
43,term,explicit,asquerosa,1.0,0,0.0,disgusting,1.0,0,asquerosa,1.0,0,dégoûtant,1.0,0,bösartig (Person),1.0,0,kirli,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/asqueroso/,0.85451245
44,term,explicit,verme,0.0,0,0.0,worm,0.0,0,parasito,0.0,0,ver de terre,0.0,0,Parasit/Ungeziefer ,0.0,0,parazit,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/verme/,0.4028394
45,term,explicit,traste,1.0,0,0.0,loser,1.0,0,basura,0.0,0,frette,1.0,0,Loser / Verlierer,1.0,0,haydut,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/traste/,0.099415205
46,term,explicit,marmiteira,0.0,0,0.0,grunt,0.0,0,entregador de comida,0.0,0,plateau à muffins,0.0,0,0,0.0,0,öğle yemeğini sefer tası ile alan işçi (kadın),0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/marmiteiro/,0.055042017
47,term,explicit,marmiteiro,0.0,0,0.0,grunt,0.0,0,entregador de comida,0.0,0,marmite,0.0,0,0,0.0,0,öğle yemeğini sefer tası ile alan işçi,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/marmiteiro/,0.034397516
48,term,explicit,pedaço de estrume,1.0,0,0.0,piece of shit ,1.0,0,pedazo de mierda,1.0,0,espèce de fumier,1.0,0,Miststück,1.0,0,bok parçası,1.0,0,"https://en.wiktionary.org/wiki/piece_of_shit#:~:text=Noun,and%20get%20your%20money%20back.",0.8223625
49,term,explicit,burro,0.0,0,0.0,dumbass / dumb / stupid,0.0,0,burro,0.0,0,0,0.0,0,Trottel (?),0.0,0,aptal,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/burro/,0.78985506
50,term,explicit,desgraça,0.0,0,0.0,doom,0.0,0,desgracia,0.0,0,malheur,0.0,0,Schande,0.0,0,rezalet,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/desgra%C3%A7a/,0.54238683
51,term,explicit,disgraça,0.0,0,0.0,damnit,0.0,0,deshonra,0.0,0,déshonneur,0.0,0,Schande,0.0,0,rezalet,0.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/dammit?q=damnit,0.54238683
52,term,explicit,desgraca,0.0,0,0.0,disgrace,0.0,0,desgracia,0.0,0,0,0.0,0,Schande,0.0,0,rezalet,0.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/disgrace,0.54238683
53,term,explicit,petesada,1.0,partyism,1.0,libtard,1.0,partyism,0,,partyism,0,1.0,partyism,0,1.0,partyism,0,1.0,partyism,"""term used in a pejorative way to refer to people from the left (also known as democrats) party in Brazil""",0.16477858
54,term,explicit,jumenta,0.0,0,0.0,dumbass,0.0,0,burra,,0,âne,0.0,0,Trottel,0.0,0,aptal kadın,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/jumenta/,0.0458857
55,term,explicit,jumento,0.0,0,0.0,dumbass,0.0,0,burro,,0,âne,0.0,0,Trottel,0.0,0,aptal,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/jumento/,0.2840909
56,term,explicit,malandro,1.0,0,0.0,sleezy,1.0,0,travieso,,0,fripouille,1.0,0,Gauner,1.0,0,haydut,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/malandro/,0.67148936
57,term,explicit,bolsomerda,1.0,partyism,1.0,0,1.0,partyism,0,,partyism,0,1.0,partyism,0,1.0,partyism,0,1.0,partyism,"""a term used in Brazil and derived from agglutination process between -Bolsonaro- and -merda- (shit)""",0.8223625
58,term,explicit,bolsotario,1.0,partyism,1.0,0,1.0,partyism,0,,partyism,0,1.0,partyism,0,1.0,partyism,0,1.0,partyism,"""a term used in Brazil and derived from agglutination process between -Bolsonaro- and -otário- (shit)""",0.11487808
59,term,explicit,bolsootarios,1.0,partyism,1.0,0,1.0,partyism,0,,partyism,0,1.0,partyism,0,1.0,partyism,0,1.0,partyism,"""a term used in Brazil and derived from agglutination process between -Bolsonaro- and -otário- (sucker)""",0.25332272
60,expression,explicit,tá tomando no cú,1.0,0,0.0,getting fucked in the ass,1.0,0,te está tomando por el culo,,0,prends ça dans le cul,1.0,0,Steck es dir in den Arsch,1.0,0,götüne sok,1.0,0,"""a term used in Brazil and derived from agglutination process between -Bolsonaro- and -otário- (sucker)""",0.93176305
61,term,explicit,meleca,0.0,0,0.0,bogie,0.0,0,moco,,0,épouventail,0.0,0,0,0.0,0,sümük,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/meleca/,0.012811388
62,term,explicit,asno,0.0,0,0.0,donkey,0.0,0,asno,,0,cul,0.0,0,Arsch,0.0,0,erkek eşek,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/asno/,0.32883924
63,expression,explicit,lixo do caralho,1.0,0,0.0,fucking garbage,1.0,0,basura,,0,tas de merde,1.0,0,Ein Haufen Scheiße (sein),1.0,0,lanet çöp,1.0,0,https://context.reverso.net/translation/english-portuguese/fucking+garbage,0.9820972
64,term,explicit,cabra,0.0,0,0.0,beast,0.0,0,cabra,,0,chèvre,0.0,0,(blöde) Ziege,0.0,0,keçi,0.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/beast,0.54238683
65,term,explicit,boçal,1.0,0,0.0,crass,1.0,0,0,,0,0,0.0,0,0,0.0,0,aptal herif,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/BO%C3%87AL/,0.4028394
66,term,explicit,repugnante,1.0,0,0.0,repulsive,1.0,0,repugnante,,0,répugnant,1.0,0,abstoßende Person,1.0,0,iğrenç,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/repugnante/,0.54238683
67,term,explicit,aloprada,0.0,0,0.0,reckless,0.0,0,demente,,0,0,0.0,0,0,0.0,0,deli,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/aloprado/,0.079515554
68,term,explicit,aloprado,0.0,0,0.0,reckless,0.0,0,demente,,0,0,0.0,0,0,0.0,0,0,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/aloprado/,0.060119804
69,term,explicit,mimimi,1.0,0,1.0,whining,1.0,0,0,,0,0,0.0,0,mimimi / Heulsuse,1.0,0,0,0.0,0,https://www.significados.com.br/mimimi/,0.038852096
70,expression,explicit,puxar o tapete,0.0,0,0.0,backlash,0.0,0,estropear,,0,tirer la couverture sur soi,0.0,0,0,0.0,0,sırtından vurmak,0.0,0,https://www.dicionariopopular.com/puxar-tapete/,0.1663423
71,expression,explicit,inveja da peste,1.0,0,1.0,green with envy,1.0,0,envidia de la peste,,0,envie de peste,1.0,0,...wie die Pest,1.0,0,veba kıskançlığı,1.0,0,https://idioms.thefreedictionary.com/green+with+envy,0.28121355
72,expression,explicit,mágoa reprimida,0.0,0,0.0,hard feelings,0.0,0,frustrada,,0,chagrin refoulé,0.0,0,0,0.0,0,bastırılmış kin,0.0,0,https://www.significados.com.br/magoa/,0.28141207
73,term,explicit,escrota,1.0,0,0.0,bitch,1.0,0,sucia,,0,fouineur,1.0,0,Schmarotzer,1.0,0,piç,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/escroto/,0.67148936
74,term,explicit,escroto,1.0,0,0.0,jerk,1.0,0,escroto,,0,scrotum,1.0,0,(Hoden)Sack,1.0,0,testis torbası,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/escroto/,0.67148936
75,term,explicit,podre,0.0,0,0.0,rotten,0.0,0,podrido,,0,pourri,0.0,0,verrotte,0.0,0,çürük,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/podre/,0.54238683
76,term,explicit,fanático,0.0,0,0.0,fanatic,0.0,0,fanático,,0,fanatique,0.0,0,Fanatiker (?),0.0,0,fanatik,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/fan%C3%A1tico/,0.4835164
77,term,explicit,fanática,0.0,0,0.0,fanatic,0.0,0,fanática,,0,fanatique,0.0,0,Fanatikerin (?),0.0,0,fanatik,0.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fanatic,0.099415205
78,expression,explicit,duzinferno,1.0,0,1.0,helluva,1.0,0,0,,0,0,0.0,0,0,0.0,0,cehennemden gelen,1.0,0,https://www.dicionarioinformal.com.br/duzinferno/,0.29484224
79,expression,explicit,vai a merda,1.0,0,0.0,suck it and see,1.0,0,vete a la mierda,,0,va te faire foutre !,1.0,0,Fick dich / Du kannst mich mal,1.0,0,siktir git,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/suck-it-and-see?q=suck+it,0.9820972
80,expression,explicit,vai pro inferno,1.0,0,0.0,go to hell,1.0,0,vete al infierno,,0,allez au diable !,1.0,0,Fahr zur Hölle,1.0,0,cehenneme git,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/go-to-hell,0.9296382
81,term,explicit,pitaco,0.0,0,0.0,to nose in (v) / nosey ,0.0,0,criticar,,0,astuce,0.0,0,0,0.0,0,am,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/pitaco/,0.0498912
82,term,explicit,calhota,1.0,0,0.0,scumbag,1.0,0,0,,0,0,0.0,0,Drecksack,1.0,0,sahtekar,1.0,0,https://www.dicionarioinformal.com.br/calhota/,0.28004074
83,expression,explicit,chata pra caralho,1.0,0,0.0,fucking annoying,1.0,0,muy aburrida,,0,c'est chiant à mourir,1.0,0,scheißlangweilig / Langweiler,1.0,0,çok sıkıcı,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fuck-off?q=fucking+off,0.9820972
84,expression,explicit,chato pra caralho,1.0,0,0.0,fucking off,1.0,0,muy aburrido,,0,putain c'est chiant,1.0,0,scheißlangweilig / Langweilerin,1.0,0,çok sıkıcı,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fuck-off?q=fucking+off,0.9820972
85,expression,explicit,bunda mole,1.0,0,0.0,wimp,1.0,0,cobarde,,0,cul doux,1.0,0,Knackarsch,1.0,0,ödlek,1.0,0,https://www.dicionarioinformal.com.br/bunda%20mole/,0.86052006
86,term,explicit,esperneia,0.0,0,0.0,make a scene,0.0,0,patalea,,0,soupirs,0.0,0,eine Szene machen,0.0,0,0,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/espernear/,0.055042017
87,term,explicit,veneno,0.0,0,0.0,shade,0.0,0,veneno,,0,poison,0.0,0,Gift (?),0.0,0,zehir,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/veneno/,0.015515257
88,term,explicit,baderna,1.0,0,0.0,mess,1.0,0,alboroto,,0,émeutes,1.0,0,Krawall (?),1.0,0,isyan,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/BADERNA/,0.038852096
89,term,explicit,baderneiro,1.0,0,0.0,troublemakers,1.0,0,alborotador,,0,fauteur de troubles,1.0,0,Krawallschachtel,1.0,0,umursamaz,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/BADERNEIRO/,0.12048414
90,term,explicit,babaca,1.0,0,0.0,jerk,1.0,0,idiota,,0,trou du cul,1.0,0,Schwachsinnig,1.0,0,adi herif,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/BABACA/,0.7596403
91,term,explicit,mesquinha,1.0,0,0.0,petty,1.0,0,tacaña,,0,avare,1.0,0,Geizhals,1.0,0,pinti,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/mesquinho/,0.34042552
92,term,explicit,mesquinho,1.0,0,0.0,petty,1.0,0,tacaño,,0,avare,1.0,0,Geizhals,1.0,0,pinti,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/mesquinho/,0.25497007
93,term,explicit,traíra,0.0,0,0.0,backstabber,0.0,0,traidor,,0,0,0.0,0,Verräter,0.0,0,hain,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/tra%C3%ADra/,0.6917604
94,term,explicit,traíras,0.0,0,0.0,backstabbers,0.0,0,traidores,,0,chalutiers,0.0,0,Verräter,0.0,0,hainler,0.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/backstabber?q=backstabbers,0.4759277
95,term,explicit,burrice,1.0,0,0.0,dumb,1.0,0,estupidez,,0,0,0.0,0,Dummheit,1.0,0,aptallık,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/BURRICE/,0.6736782
96,expression,explicit,cala boca,1.0,0,0.0,shut up,1.0,0,callate,,0,tais-toi !,1.0,0,Maul halten,1.0,0,kapa çeneni,1.0,0,https://www.dicionarioinformal.com.br/cala%20a%20boca/,0.8674699
97,expression,explicit,cala a boca,1.0,0,0.0,shut up,1.0,0,cierra la boca,,0,tais-toi !,1.0,0,Halt dein Maul,1.0,0,kapa çeneni,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/shut-sb-up?q=shut+up,0.8674699
98,expression,explicit,cala essa boca,1.0,0,0.0,shut the hell up,1.0,0,cierra la boca,,0,fermez votre gueule !,1.0,0,Halt deine Fresse,1.0,0,kapa çeneni,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/shut-sb-up?q=shut+up,0.9018155
99,expression,explicit,cala sua boca,1.0,0,0.0,shut your mouth,1.0,0,cierra la boca,,0,fermez votre gueule !,1.0,0,Halt deine Fresse,1.0,0,kapa çeneni,1.0,0,https://www.dicionarioinformal.com.br/cala%20a%20boca/,0.8745575
100,term,explicit,mimadinho,1.0,0,0.0,spoiled,1.0,0,mocoso maleducado,,0,gâté,1.0,0,verzogen,1.0,0,şımarık,1.0,0,https://www.dicionarioinformal.com.br/mimadinho/,0.22799985
101,term,explicit,bunda,1.0,0,0.0,ass,1.0,0,culo,,0,cul,1.0,0,Arsch,1.0,0,göt,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/ass,0.857054
102,term,explicit,esquerdopata,1.0,partyism,1.0,libtard,1.0,partyism,0,,partyism,gauchiste,1.0,partyism,0,0.0,0,solcu,1.0,partyism,https://www.dicionarioinformal.com.br/esquerdopata/,0.74301815
103,term,explicit,zé ruela,1.0,0,1.0,loser / fool,1.0,0,insignificante,,0,0,0.0,0,Loser / Verlierer,1.0,0,ezik,1.0,0,https://www.dicionarioinformal.com.br/z%C3%A9%20ruela/,0.08372502
104,term,explicit,caraí,1.0,0,0.0,shit,1.0,0,0,,0,0,0.0,0,Scheiße,1.0,0,bok,1.0,0,https://www.dicionarioinformal.com.br/cara%C3%AD/,0.54238683
105,term,explicit,karai,1.0,0,0.0,shit,1.0,0,0,,0,0,0.0,0,Scheiße,1.0,0,bok,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/shit,0.037130523
106,term,explicit,almofadinha,0.0,0,0.0,fancy pants,0.0,0,ricachón,,0,coussin,0.0,0,Schnösel,0.0,0,zübbe,0.0,0,https://www.dicionarioinformal.com.br/almofadinha/,0.5131925
107,term,explicit,se enxerga,0.0,0,0.0,get your head out of your ass,0.0,0,0,,0,0,0.0,0,Nimm den Stock aus dem Arsch,0.0,0,0,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/gentalha/,0.26797
108,term,explicit,cara de pau,1.0,0,0.0,shameless,1.0,0,cara de palo,,0,sans vergogne,1.0,0,schamlos ,1.0,0,utanmaz,1.0,0,https://www.dicionarioinformal.com.br/cara%20de%20pau/,0.9532164
109,term,explicit,gentalha,1.0,0,0.0,(white) trash,1.0,0,gentuza,,0,racaille,1.0,0,Abschaum,1.0,0,pislik,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/gentalha/,0.7010875
110,term,explicit,estúpido,1.0,0,0.0,rude,1.0,0,estúpido,,0,stupide,1.0,0,Idiot ,1.0,0,aptal,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/est%C3%BApido/,0.8674699
